Option,Model,Metric,Mean,Std
Option1_Categorical,LogisticRegression_L1,Sensitivity,0.7442633131501319,0.029852901647092304
Option1_Categorical,LogisticRegression_L1,Specificity,0.6125435540069686,0.015354254631257006
Option1_Categorical,LogisticRegression_L1,PPV,0.15950889197121612,0.003622481374373908
Option1_Categorical,LogisticRegression_L1,NPV,0.9604539179784297,0.003816047247591162
Option1_Categorical,LogisticRegression_L1,Precision,0.15950889197121612,0.003622481374373908
Option1_Categorical,LogisticRegression_L1,Recall,0.7442633131501319,0.029852901647092304
Option1_Categorical,LogisticRegression_L1,AUROC,0.7588098375660715,0.01754551594382653
Option1_Categorical,LogisticRegression_L1,AUPRC,0.2375614932362955,0.031676829444658786
Option1_Categorical,RandomForest,Sensitivity,0.0035398230088495575,0.00484710227880678
Option1_Categorical,RandomForest,Specificity,0.9975609756097562,0.0015582355243900752
Option1_Categorical,RandomForest,PPV,0.13333333333333333,0.21730674684008833
Option1_Categorical,RandomForest,NPV,0.9101893709922688,0.0007519875664791304
Option1_Categorical,RandomForest,Precision,0.13333333333333333,0.21730674684008833
Option1_Categorical,RandomForest,Recall,0.0035398230088495575,0.00484710227880678
Option1_Categorical,RandomForest,AUROC,0.7630267796623006,0.015683750769118862
Option1_Categorical,RandomForest,AUPRC,0.22121688866491646,0.017867746253787436
Option1_Categorical,XGBoost,Sensitivity,0.30147492625368727,0.029966784894867947
Option1_Categorical,XGBoost,Specificity,0.9081881533101045,0.007012059859755433
Option1_Categorical,XGBoost,PPV,0.2449023254970836,0.015956272197106876
Option1_Categorical,XGBoost,NPV,0.9294091654283865,0.002274479256800929
Option1_Categorical,XGBoost,Precision,0.2449023254970836,0.015956272197106876
Option1_Categorical,XGBoost,Recall,0.30147492625368727,0.029966784894867947
Option1_Categorical,XGBoost,AUROC,0.7266151024009408,0.014496815242349166
Option1_Categorical,XGBoost,AUPRC,0.21069214578722512,0.007967861337596442
Option2_PCA_Embeddings,LogisticRegression_L1,Sensitivity,0.6914454277286135,0.04551695925892417
Option2_PCA_Embeddings,LogisticRegression_L1,Specificity,0.663588850174216,0.012553833380002695
Option2_PCA_Embeddings,LogisticRegression_L1,PPV,0.16886004326892845,0.011523589858009333
Option2_PCA_Embeddings,LogisticRegression_L1,NPV,0.9560623705116823,0.006738376616540644
Option2_PCA_Embeddings,LogisticRegression_L1,Precision,0.16886004326892845,0.011523589858009333
Option2_PCA_Embeddings,LogisticRegression_L1,Recall,0.6914454277286135,0.04551695925892417
Option2_PCA_Embeddings,LogisticRegression_L1,AUROC,0.7550521971884167,0.022241640671535372
Option2_PCA_Embeddings,LogisticRegression_L1,AUPRC,0.23416688702710586,0.042811043923885024
